Packet Loss,delay,RTT Loss,bufferKB,bufferMS,Message size,Batch size,message timeout,acks,retry times,retry backoff,Number of Received messages,Number of nonidentical messages,Number of lost messages,Percentage of lost messages,Number of redundant messages,Percentage of redundant messages,Number of duplicated messages,Percentage of duplicated messages
0.50%,30,0.009975,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.00%,30,0.0199,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.50%,30,0.029775,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.00%,30,0.0396,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.50%,30,0.049375,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.00%,30,0.0591,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.50%,30,0.068775,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.00%,30,0.0784,1048576,0.5,100,1,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.50%,30,0.087975,1048576,0.5,100,1,5000,0,0,100,978406,978406,21594,0.021594,0,0.00%,0,0.00%
5.00%,30,0.0975,1048576,0.5,100,1,5000,0,0,100,935569,935569,64431,0.064431,0,0.00%,0,0.00%
5.50%,30,0.106975,1048576,0.5,100,1,5000,0,0,100,831580,831580,168420,0.16842,0,0.00%,0,0.00%
6.00%,30,0.1164,1048576,0.5,100,1,5000,0,0,100,807384,807384,192616,0.192616,0,0.00%,0,0.00%
6.50%,30,0.125775,1048576,0.5,100,1,5000,0,0,100,698105,698105,301895,0.301895,0,0.00%,0,0.00%
7.00%,30,0.1351,1048576,0.5,100,1,5000,0,0,100,664267,664267,335733,0.335733,0,0.00%,0,0.00%
7.50%,30,0.144375,1048576,0.5,100,1,5000,0,0,100,615531,615531,384469,0.384469,0,0.00%,0,0.00%
8.00%,30,0.1536,1048576,0.5,100,1,5000,0,0,100,525481,525481,474519,0.474519,0,0.00%,0,0.00%
8.50%,30,0.162775,1048576,0.5,100,1,5000,0,0,100,518966,518966,481034,0.481034,0,0.00%,0,0.00%
9.00%,30,0.1719,1048576,0.5,100,1,5000,0,0,100,395571,395571,604429,0.604429,0,0.00%,0,0.00%
9.50%,30,0.180975,1048576,0.5,100,1,5000,0,0,100,396011,396011,603989,0.603989,0,0.00%,0,0.00%
10.00%,30,0.19,1048576,0.5,100,1,5000,0,0,100,322941,322941,677059,0.677059,0,0.00%,0,0.00%
10.50%,30,0.198975,1048576,0.5,100,1,5000,0,0,100,289911,289911,710089,0.710089,0,0.00%,0,0.00%
11.00%,30,0.2079,1048576,0.5,100,1,5000,0,0,100,262000,262000,738000,0.738,0,0.00%,0,0.00%
11.50%,30,0.216775,1048576,0.5,100,1,5000,0,0,100,223296,223296,776704,0.776704,0,0.00%,0,0.00%
12.00%,30,0.2256,1048576,0.5,100,1,5000,0,0,100,250298,250298,749702,0.749702,0,0.00%,0,0.00%
12.50%,30,0.234375,1048576,0.5,100,1,5000,0,0,100,184262,184262,815738,0.815738,0,0.00%,0,0.00%
13.00%,30,0.2431,1048576,0.5,100,1,5000,0,0,100,175722,175722,824278,0.824278,0,0.00%,0,0.00%
13.50%,30,0.251775,1048576,0.5,100,1,5000,0,0,100,149062,149062,850938,0.850938,0,0.00%,0,0.00%
14.00%,30,0.2604,1048576,0.5,100,1,5000,0,0,100,134949,134949,865051,0.865051,0,0.00%,0,0.00%
14.50%,30,0.268975,1048576,0.5,100,1,5000,0,0,100,119734,119734,880266,0.880266,0,0.00%,0,0.00%
15.00%,30,0.2775,1048576,0.5,100,1,5000,0,0,100,133132,133132,866868,0.866868,0,0.00%,0,0.00%
15.50%,30,0.285975,1048576,0.5,100,1,5000,0,0,100,104259,104259,895741,0.895741,0,0.00%,0,0.00%
16.00%,30,0.2944,1048576,0.5,100,1,5000,0,0,100,95615,95615,904385,0.904385,0,0.00%,0,0.00%
16.50%,30,0.302775,1048576,0.5,100,1,5000,0,0,100,104439,104439,895561,0.895561,0,0.00%,0,0.00%
17.00%,30,0.3111,1048576,0.5,100,1,5000,0,0,100,93996,93996,906004,0.906004,0,0.00%,0,0.00%
17.50%,30,0.319375,1048576,0.5,100,1,5000,0,0,100,81603,81603,918397,0.918397,0,0.00%,0,0.00%
18.00%,30,0.3276,1048576,0.5,100,1,5000,0,0,100,82251,82251,917749,0.917749,0,0.00%,0,0.00%
18.50%,30,0.335775,1048576,0.5,100,1,5000,0,0,100,78064,78064,921936,0.921936,0,0.00%,0,0.00%
19.00%,30,0.3439,1048576,0.5,100,1,5000,0,0,100,72685,72685,927315,0.927315,0,0.00%,0,0.00%
19.50%,30,0.351975,1048576,0.5,100,1,5000,0,0,100,68357,68357,931643,0.931643,0,0.00%,0,0.00%
20.00%,30,0.36,1048576,0.5,100,1,5000,0,0,100,69138,69138,930862,0.930862,0,0.00%,0,0.00%
20.50%,30,0.367975,1048576,0.5,100,1,5000,0,0,100,64101,64101,935899,0.935899,0,0.00%,0,0.00%
21.00%,30,0.3759,1048576,0.5,100,1,5000,0,0,100,59264,59264,940736,0.940736,0,0.00%,0,0.00%
21.50%,30,0.383775,1048576,0.5,100,1,5000,0,0,100,54646,54646,945354,0.945354,0,0.00%,0,0.00%
22.00%,30,0.3916,1048576,0.5,100,1,5000,0,0,100,59804,59804,940196,0.940196,0,0.00%,0,0.00%
22.50%,30,0.399375,1048576,0.5,100,1,5000,0,0,100,53958,53958,946042,0.946042,0,0.00%,0,0.00%
23.00%,30,0.4071,1048576,0.5,100,1,5000,0,0,100,51453,51453,948547,0.948547,0,0.00%,0,0.00%
23.50%,30,0.414775,1048576,0.5,100,1,5000,0,0,100,52870,52870,947130,0.94713,0,0.00%,0,0.00%
24.00%,30,0.4224,1048576,0.5,100,1,5000,0,0,100,49813,49813,950187,0.950187,0,0.00%,0,0.00%
24.50%,30,0.429975,1048576,0.5,100,1,5000,0,0,100,47274,47274,952726,0.952726,0,0.00%,0,0.00%
25.00%,30,0.4375,1048576,0.5,100,1,5000,0,0,100,44539,44539,955461,0.955461,0,0.00%,0,0.00%
0.50%,30,0.009975,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.00%,30,0.0199,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.50%,30,0.029775,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.00%,30,0.0396,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.50%,30,0.049375,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.00%,30,0.0591,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.50%,30,0.068775,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.00%,30,0.0784,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.50%,30,0.087975,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.00%,30,0.0975,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.50%,30,0.106975,1048576,0.5,100,2,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.00%,30,0.1164,1048576,0.5,100,2,5000,0,0,100,999785,999785,215,0.000215,0,0.00%,0,0.00%
6.50%,30,0.125775,1048576,0.5,100,2,5000,0,0,100,988817,988817,11183,0.011183,0,0.00%,0,0.00%
7.00%,30,0.1351,1048576,0.5,100,2,5000,0,0,100,982625,982625,17375,0.017375,0,0.00%,0,0.00%
7.50%,30,0.144375,1048576,0.5,100,2,5000,0,0,100,924314,924314,75686,0.075686,0,0.00%,0,0.00%
8.00%,30,0.1536,1048576,0.5,100,2,5000,0,0,100,826557,826557,173443,0.173443,0,0.00%,0,0.00%
8.50%,30,0.162775,1048576,0.5,100,2,5000,0,0,100,790256,790256,209744,0.209744,0,0.00%,0,0.00%
9.00%,30,0.1719,1048576,0.5,100,2,5000,0,0,100,750879,750879,249121,0.249121,0,0.00%,0,0.00%
9.50%,30,0.180975,1048576,0.5,100,2,5000,0,0,100,667758,667758,332242,0.332242,0,0.00%,0,0.00%
10.00%,30,0.19,1048576,0.5,100,2,5000,0,0,100,599563,599563,400437,0.400437,0,0.00%,0,0.00%
10.50%,30,0.198975,1048576,0.5,100,2,5000,0,0,100,470136,470136,529864,0.529864,0,0.00%,0,0.00%
11.00%,30,0.2079,1048576,0.5,100,2,5000,0,0,100,389638,389638,610362,0.610362,0,0.00%,0,0.00%
11.50%,30,0.216775,1048576,0.5,100,2,5000,0,0,100,327664,327664,672336,0.672336,0,0.00%,0,0.00%
12.00%,30,0.2256,1048576,0.5,100,2,5000,0,0,100,344391,344391,655609,0.655609,0,0.00%,0,0.00%
12.50%,30,0.234375,1048576,0.5,100,2,5000,0,0,100,277755,277755,722245,0.722245,0,0.00%,0,0.00%
