Packet Loss,delay,RTT Loss,bufferKB,bufferMS,Message size,Batch size,message timeout,acks,retry times,retry backoff,Number of Received messages,Number of nonidentical messages,Number of lost messages,Percentage of lost messages,Number of redundant messages,Percentage of redundant messages,Number of duplicated messages,Percentage of duplicated messages,total time seconds
0.5,30,0.009975,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,274.2105577
1,30,0.0199,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,267.4091799
1.5,30,0.029775,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,270.1156213
2,30,0.0396,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,267.9327903
2.5,30,0.049375,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,267.6238434
3,30,0.0591,1048576,0.5,102,1,2000,1,1,40,999953,999953,47,4.70E-05,0,0,0,0,277.6476154
3.5,30,0.068775,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,291.2205963
4,30,0.0784,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,299.2238302
4.5,30,0.087975,1048576,0.5,102,1,2000,1,1,40,999303,999303,697,0.000697,0,0,0,0,296.6067793
5,30,0.0975,1048576,0.5,102,1,2000,1,1,40,997361,995397,4603,0.004603,1964,0.001969197,1964,0.001964,292.589958
5.5,30,0.106975,1048576,0.5,102,1,2000,1,1,40,947607,947016,52984,0.052984,591,0.000623676,591,0.000591,294.3583527
6,30,0.1164,1048576,0.5,102,1,2000,1,1,40,486880,486284,513716,0.513716,596,0.001224121,596,0.000596,288.9332156
6.5,30,0.125775,1048576,0.5,102,1,2000,1,1,40,359253,358215,641785,0.641785,1038,0.002889329,1038,0.001038,294.5638654
7,30,0.1351,1048576,0.5,102,1,2000,1,1,40,202480,202474,797526,0.797526,6,2.96E-05,6,6.00E-06,293.1531291
7.5,30,0.144375,1048576,0.5,102,1,2000,1,1,40,161820,161765,838235,0.838235,55,0.000339884,55,5.50E-05,292.775852
8,30,0.1536,1048576,0.5,102,1,2000,1,1,40,131588,131386,868614,0.868614,202,0.001535094,202,0.000202,291.2055304
8.5,30,0.162775,1048576,0.5,102,1,2000,1,1,40,146777,146777,853223,0.853223,0,0,0,0,287.9801211
9,30,0.1719,1048576,0.5,102,1,2000,1,1,40,111757,111757,888243,0.888243,0,0,0,0,289.4679141
9.5,30,0.180975,1048576,0.5,102,1,2000,1,1,40,102848,102848,897152,0.897152,0,0,0,0,296.3149345
10,30,0.19,1048576,0.5,102,1,2000,1,1,40,99953,99953,900047,0.900047,0,0,0,0,290.290885
10.5,30,0.198975,1048576,0.5,102,1,2000,1,1,40,90111,90046,909954,0.909954,65,0.000721333,65,6.50E-05,291.6111586
11,30,0.2079,1048576,0.5,102,1,2000,1,1,40,94748,94748,905252,0.905252,0,0,0,0,286.1682553
11.5,30,0.216775,1048576,0.5,102,1,2000,1,1,40,85970,85970,914030,0.91403,0,0,0,0,290.599921
12,30,0.2256,1048576,0.5,102,1,2000,1,1,40,82824,82754,917246,0.917246,70,0.000845166,70,7.00E-05,292.1664941
12.5,30,0.234375,1048576,0.5,102,1,2000,1,1,40,68037,68037,931963,0.931963,0,0,0,0,290.1969223
13,30,0.2431,1048576,0.5,102,1,2000,1,1,40,70015,70015,929985,0.929985,0,0,0,0,289.3938394
13.5,30,0.251775,1048576,0.5,102,1,2000,1,1,40,68357,68357,931643,0.931643,0,0,0,0,289.8806691
14,30,0.2604,1048576,0.5,102,1,2000,1,1,40,58488,58488,941512,0.941512,0,0,0,0,291.8241391
14.5,30,0.268975,1048576,0.5,102,1,2000,1,1,40,60258,60258,939742,0.939742,0,0,0,0,292.224226
15,30,0.2775,1048576,0.5,102,1,2000,1,1,40,59261,59261,940739,0.940739,0,0,0,0,291.7997515
15.5,30,0.285975,1048576,0.5,102,1,2000,1,1,40,57239,57239,942761,0.942761,0,0,0,0,291.294481
16,30,0.2944,1048576,0.5,102,1,2000,1,1,40,55373,55373,944627,0.944627,0,0,0,0,289.6611962
16.5,30,0.302775,1048576,0.5,102,1,2000,1,1,40,55511,55511,944489,0.944489,0,0,0,0,293.5303476
17,30,0.3111,1048576,0.5,102,1,2000,1,1,40,50473,49911,950089,0.950089,562,0.011134666,562,0.000562,287.4959097
17.5,30,0.319375,1048576,0.5,102,1,2000,1,1,40,48333,48235,951765,0.951765,98,0.0020276,98,9.80E-05,286.8507118
18,30,0.3276,1048576,0.5,102,1,2000,1,1,40,47648,47648,952352,0.952352,0,0,0,0,292.0236793
18.5,30,0.335775,1048576,0.5,102,1,2000,1,1,40,45986,45986,954014,0.954014,0,0,0,0,286.3413093
